Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2025-08-15,Rennes,Marseille,1,0,H,0,0,D,12,24,5,2,8,11,1,12,2,3,1,0
2025-08-16,Lens,Lyon,0,1,A,0,1,A,18,11,5,3,13,20,13,8,2,3,0,0
2025-08-16,Monaco,Le Havre,3,1,H,1,0,H,13,9,3,4,5,14,5,4,0,1,0,0
2025-08-16,Nice,Toulouse,0,1,A,0,0,D,13,10,2,2,12,13,9,4,2,3,0,0
2025-08-17,Brest,Lille,3,3,D,1,2,A,18,10,5,6,11,13,2,2,2,1,0,0
2025-08-17,Angers,Paris FC,1,0,H,1,0,H,8,17,2,7,14,10,3,7,2,1,1,0
2025-08-17,Auxerre,Lorient,1,0,H,0,0,D,7,14,3,3,18,14,4,5,3,2,0,0
2025-08-17,Metz,Strasbourg,0,1,A,0,0,D,2,9,0,4,16,13,3,3,2,2,0,0
2025-08-17,Nantes,Paris SG,0,1,A,0,0,D,6,18,0,4,6,6,2,7,1,1,0,0
2025-08-22,Paris SG,Angers,1,0,H,0,0,D,21,3,4,0,3,9,12,0,0,0,0,0
2025-08-23,Marseille,Paris FC,5,2,H,2,1,H,12,8,7,4,9,12,5,2,1,0,0,0
2025-08-23,Nice,Auxerre,3,1,H,2,1,H,16,12,6,8,10,15,5,4,2,2,0,1
2025-08-23,Lyon,Metz,3,0,H,2,0,H,13,11,8,2,13,15,4,3,0,2,0,0
2025-08-24,Lorient,Rennes,4,0,H,1,0,H,22,5,7,1,18,7,3,2,6,0,0,2
2025-08-24,Le Havre,Lens,1,2,A,1,2,A,18,6,6,3,17,16,7,0,3,1,0,0
2025-08-24,Strasbourg,Nantes,1,0,H,0,0,D,15,9,4,2,11,9,7,6,2,2,0,0
2025-08-24,Toulouse,Brest,2,0,H,0,0,D,6,16,3,2,14,10,3,9,0,1,0,0
2025-08-24,Lille,Monaco,1,0,H,0,0,D,18,6,1,1,7,14,8,3,1,2,0,0
2025-08-29,Lens,Brest,3,1,H,0,1,A,30,9,10,2,7,12,15,1,1,3,0,1
2025-08-30,Lorient,Lille,1,7,A,0,0,D,6,20,2,11,14,18,3,8,3,3,0,0
2025-08-30,Nantes,Auxerre,1,0,H,1,0,H,4,14,3,4,13,11,3,9,1,3,0,0
2025-08-30,Toulouse,Paris SG,3,6,A,1,4,A,14,13,6,8,7,11,5,7,1,0,0,0
2025-08-31,Angers,Rennes,1,1,D,0,1,A,10,15,7,7,9,11,1,7,2,2,0,0
2025-08-31,Le Havre,Nice,3,1,H,1,0,H,12,7,8,3,13,16,0,5,1,4,0,0
2025-08-31,Monaco,Strasbourg,3,2,H,1,0,H,12,12,4,4,13,12,6,5,2,1,0,1
2025-08-31,Paris FC,Metz,3,2,H,1,1,D,24,14,9,2,4,8,14,6,1,1,0,1
2025-08-31,Lyon,Marseille,1,0,H,0,0,D,17,5,5,2,16,11,9,4,2,2,0,1
2025-09-12,Marseille,Lorient,4,0,H,3,0,H,15,4,8,1,18,5,10,0,3,2,0,1
2025-09-13,Nice,Nantes,1,0,H,0,0,D,19,14,8,3,16,13,7,4,2,0,0,0
2025-09-13,Auxerre,Monaco,1,2,A,0,1,A,9,13,2,3,12,19,5,8,3,6,1,0
2025-09-14,Lille,Toulouse,2,1,H,0,0,D,20,9,5,4,12,10,7,6,2,3,0,1
2025-09-14,Brest,Paris FC,1,2,A,0,2,A,23,7,8,4,11,10,6,1,0,2,0,1
2025-09-14,Metz,Angers,1,1,D,1,0,H,9,11,5,4,10,7,4,3,0,1,0,0
2025-09-14,Paris SG,Lens,2,0,H,1,0,H,14,11,6,3,10,8,4,3,1,2,0,0
2025-09-14,Strasbourg,Le Havre,1,0,H,0,0,D,9,10,7,1,8,16,4,3,2,2,1,0
2025-09-14,Rennes,Lyon,3,1,H,0,1,A,23,8,5,5,18,13,5,4,2,2,0,1
